Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
TiVCrCuFeMnCoNi,8,Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1,1.2991,0.0550,1810.97125,271.77,-8.1250,7.2629,2.0794,1.7375,0.1486,7.5000,2.2913,"152,500,000,000",24.8747,IM+SS,IM+SS
Al0.8CrCuFeMn1.5Ni,6 ,Al Cr Cu Fe Mn Ni,0.8 1 1 1 1.5 1,1.2991,0.0505,1603.499365,361.03,-4.2328,6.0344,1.7723,1.7322,0.1471,7.6032,2.4400,"141,396,825,397",32.7678,SS,SS
W6Fe7,2 ,W Fe,6 7,1.2992,0.0483,2680.538462,939.21,0.0000,0.0000,0.6902,2.0746,0.2642,7.0769,0.9970,"234,615,384,615",69.7926,IM,IM
AlCrCuFeMnNi,6 ,Al Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.2993,0.0539,1588.206667,388.58,-5.1111,6.3588,1.7918,1.7433,0.1426,7.5000,2.6300,"141,000,000,000",35.0951,BCC,SS
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,1.2998,0.0629,1824.5,202.47,-13.4444,7.5143,1.7918,1.7283,0.1518,7.3333,1.9720,"153,333,333,333",28.0872,IM+SS,IM+SS
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,1.2999,0.0611,1800.104444,577.58,-11.8519,4.9666,1.5811,1.7978,0.1722,6.6667,2.4495,"155,777,777,778",46.9652,BCC+BCC,SS
CuCoNiCrAl1.8Fe,6 ,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,1.3004,0.0613,1547.796471,431.37,-8.0796,6.7192,1.7613,1.7762,0.1273,7.2647,2.9537,"142,176,470,588",41.7284,FCC+BCC,SS
CoFeReRu,4 ,Co Fe Re Ru,1 1 1 1,1.3013,0.0437,2411.25,691.04,-1.5000,1.3110,1.3863,1.9525,0.1452,8.0000,0.7071,"235,000,000,000",80.1561,HCP,SS
AlCoCuNi,4 ,Al Co Cu Ni,1 1 1 1,1.30175,0.058520188,1446.81,336.7777121,-8,6.937218463,1.386294361,1.825,0.124599358,8.25,3.112474899,1.44E+11,42.52058325,FCC+BCC,SS
CoCrFeNiAlNb0.75,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.75,1.30273913,0.065024412,1823.125217,523.4340257,-18.02646503,7.477701174,1.786723603,1.754782609,0.127411335,6.913043478,2.430119759,1.55391E+11,37.08713492,BCC+Laves,IM+SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,1.303428571,0.062974937,1524.53,434.415668,-9.632653061,6.883381307,1.549826046,1.775714286,0.132434042,7.285714286,3.103651569,1.40286E+11,42.58005665,A2+B2,IM
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,1.303791045,0.067564849,1737.418657,327.6671612,-12.89374025,9.281372585,1.921180321,1.766119403,0.144799967,7.507462687,2.678678301,1.49254E+11,32.44804954,IM+SS,IM+SS
FeCoNiCrCuAl2.0,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.0,1.3041,0.0626,1530.244286,437.31,-8.6531,6.7508,1.7479,1.7714,0.1284,7.1429,2.9966,"140,285,714,286",42.5801,FCC+(FCC+BCC),SS
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,1.3044,0.0420,2436.382353,774.84,-6.7405,3.7057,1.5834,2.0141,0.2306,7.5294,1.9133,"214,705,882,353",53.2605,BCC+FCC+Co7Mo6,IM+SS
Al2CoCrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,1.3062,0.0646,1543.511538,451.09,-11.5976,6.5843,1.7118,1.7615,0.1281,6.8462,2.9048,"140,307,692,308",44.1873,SS,SS
CrMnFe1.5Ni0.5Al1.2,5 ,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,1.3081,0.0603,1615.32,427.39,-11.2870,5.2597,1.5563,1.7004,0.1250,6.4615,2.1791,"137,730,769,231",38.8251,BCC,SS
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,1.3084,0.0694,1743.319565,324.68,-14.0223,9.4923,1.9135,1.7596,0.1476,7.4058,2.7044,"148,115,942,029",32.6455,IM+SS,IM+SS
CoCrFeNiAl2,5 ,Co Cr Fe Ni Al,1 1 1 1 2,1.3085,0.0668,1558.99,466.18,-15.4444,5.8899,1.5607,1.7500,0.1266,6.5000,2.7538,"140,333,333,333",45.9915,BCC+BCC,SS
AlCoCrCuFeNiTiV,8 ,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,1.3094,0.0634,1737.78,392.55,-13.9375,8.7607,2.0794,1.7450,0.1403,7.0000,2.7386,"147,000,000,000",34.4674,FCC+BCC,SS
FeCoNiCrCuAl2.3,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.3,1.3094,0.0640,1505.719315,444.31,-9.3751,6.7637,1.7255,1.7648,0.1298,6.9726,3.0474,"137,643,835,616",43.6051,FCC+BCC,SS
FeNiCrMnTi,5,Fe Ni Cr Mn Ti,1 1 1 1 1,1.3096,0.0659,1835.8,220.06,-13.2800,7.2335,1.6094,1.6980,0.1488,7.0000,2.0000,"148,000,000,000",27.8568,FCC+BCC+IM,IM+SS
Mo3Si,2 ,Mo Si,3 1,1.3105,0.0694,2593.75,523.51,-26.2500,3.7889,0.5623,2.0950,0.1126,5.5000,0.8660,"197,500,000,000",56.2917,IM,IM
Cu0.5NiAlCoCrFeTi,7 ,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,1.3108,0.0699,1698.516154,382.77,-17.1834,9.3388,1.9251,1.7508,0.1425,7.0000,2.7175,"145,538,461,538",37.8186,AM,AM
Co0.5Cr0.5Fe0.5NiAlMnV0.5,7 ,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 0.5,1.3113,0.0556,1630.294,409.18,-15.9600,6.5994,1.8867,1.7140,0.1426,6.8000,2.4413,"142,200,000,000",39.2983,BCC,SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,1.3113,0.0999,1828.795,273.53,-14.4444,12.0070,1.7918,1.7517,0.2065,8.0000,2.3805,"150,138,888,889",38.0071,AM+IM,AM+IM
AlMnSi,3 ,Al Mn Si,1 1 1,1.311666667,0.089262097,1379.823333,322.9855246,-36.88888889,8.855725171,1.098612289,1.686666667,0.152825245,4.666666667,1.699673171,98666666667,17.98765008,IM,IM
Co0.5Cr0.5Fe0.5NiAlMnV,7 ,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 1,1.311727273,0.052998247,1680.54,421.2518006,-16.26446281,6.612621834,1.893788232,1.706363636,0.138056163,6.636363636,2.3845231,1.43818E+11,37.81730768,BCC,SS
CuCoNiCrAl2.5Fe,6 ,Cu Co Ni Cr Al Fe,1 1 1 1 2.5 1,1.3127,0.0648,1490.459333,447.94,-9.7778,6.7537,1.7095,1.7607,0.1305,6.8667,3.0739,"136,000,000,000",44.1513,FCC+BCC,SS
Al0.5CoCrCuFeNiTi1.6 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.6,1.3127,0.0709,1748.888028,321.75,-15.0050,9.6508,1.9030,1.7534,0.1500,7.3099,2.7249,"147,042,253,521",32.7945,IM+SS,IM+SS
Ti2CrCuFeCoNi,6 ,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,1.3127,0.0724,1818.11,234.14,-14.0408,9.4813,1.7479,1.7514,0.1548,7.4286,2.6108,"150,000,000,000",28.2843,IM,IM
CoCrCuFeNiTi2,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 2,1.3127,0.0724,1818.11,234.14,-14.0408,9.4813,1.7479,1.7514,0.1548,7.4286,2.6108,"150,000,000,000",28.2843,AM+IM,AM+IM
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,1.3127,0.0724,1818.11,234.14,-14.0408,9.4813,1.7479,1.7514,0.1548,7.4286,2.6108,"150,000,000,000",28.2843,IM+SS,IM+SS
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,1.3128,0.0993,1837.327083,295.98,-9.6875,10.4841,1.6058,1.7363,0.2011,7.7500,2.3496,"147,222,222,222",36.7334,AM+IM,AM+IM
AlCoCrFeNiTi,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1,1.3135,0.0722,1726.911667,385.02,-21.5556,9.1136,1.7918,1.7383,0.1414,6.6667,2.5604,"146,000,000,000",39.3277,BCC+B2,IM+SS
AlTiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1 1,1.3139,0.0603,1713.471111,376.43,-12.7407,8.2354,2.1972,1.7233,0.1458,7.0000,2.5820,"144,000,000,000",33.5857,SS,SS
Cu16Mg6Si7,3 ,Cu Mg Si,16 6 7,1.3147,0.1179,1347.286897,255.27,-16.6849,5.1405,0.9972,1.7779,0.2390,7.4483,3.9964,"110,689,655,172",37.3410,IM,IM
AlCoCrCuFeMoNiTiV,9 ,Al Co Cr Cu Fe Mo Ni Ti V Zr,1 1 1 1 1 1 1 1 1,1.3153,0.0609,1866.471111,519.10,-11.2099,8.3174,2.1972,1.7911,0.1857,6.8889,2.6010,"156,222,222,222",41.6701,SS,SS
Al0.5CoCrCuFeNiTi1.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.8,1.3168,0.0721,1754.15137,318.85,-15.8604,9.7656,1.8904,1.7475,0.1520,7.2192,2.7411,"146,027,397,260",32.9025,IM+SS,IM+SS
FeCoNiCrCuAl2.8,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.8,1.3173,0.0657,1469.036667,452.11,-10.2827,6.7168,1.6845,1.7549,0.1312,6.7179,3.1046,"133,692,307,692",44.8051,FCC+BCC,SS
Cu3MgSi,3 ,Cu Mg Si,3 1 1,1.3176,0.1136,1336.662,242.98,-14.7200,4.8755,0.9503,1.7820,0.2360,7.8000,3.9699,"113,000,000,000",37.3631,IM,IM
FeNiCrCoAl2.5,5 ,Fe Ni Cr Co Al,1 1 1 1 2.5 ,1.318,0.068416796,1510.873077,477.9042626,-16.09467456,5.773695577,1.519382665,1.739230769,0.127246674,6.230769231,2.805320389,1.35385E+11,47.3961025,BCC,SS
AlCrCuFeNiTi,6 ,Al Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.3180,0.0701,1658.54,407.42,-13.6667,9.2386,1.7918,1.7417,0.1448,7.0000,2.9439,"139,333,333,333",36.2706,FCC+BCC,SS
AuCu3,2 ,Au Cu,1 3,1.3190,0.0538,1352.66,8.85,-6.7500,0.9743,0.5623,2.0600,0.2771,11.0000,0.0000,"160,000,000,000",34.6410,IM,IM
Pd75Si25,2 ,Pd Si,75 25,1.3195,0.0729,1792.7875,61.08,-41.2500,5.9539,0.5623,2.1250,0.1299,8.5000,2.5981,"160,000,000,000",34.6410,AM,AM
FeCoNiCrCuAl3,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 3.0,1.3201,0.0661,1455.6475,454.19,-10.5625,6.6802,1.6675,1.7513,0.1315,6.6250,3.1200,"132,250,000,000",45.1491,FCC+BCC,SS
Al0.5CoCrCuFeNiTi2.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 2.0,1.3207,0.0731,1759.134,316.01,-16.6044,9.8435,1.8763,1.7420,0.1536,7.1333,2.7536,"145,066,666,667",32.9757,IM+SS,IM+SS
CoZn,2 ,Co Zn,1 1,1.323,0.054421769,1230.34,537.66,-5,0,0.693147181,1.765,0.115,10.5,1.5,1.25E+11,55,IM,IM
CrCuFeNiZr,5 ,Cr Cu Fe Ni Zr,1 1 1 1 1,1.3234,0.1061,1840.954,298.15,-14.4000,11.9392,1.6094,1.7260,0.2173,7.8000,2.5612,"144,166,666,667",38.9801,BCC,SS
AlCoCrFeNiTi1.5,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1.5,1.3249,0.0750,1743.38,374.29,-23.9053,9.6519,1.7782,1.7231,0.1457,6.4615,2.5605,"143,230,769,231",38.9835,IM+SS,IM+SS
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,1.3257,0.062715627,1635.471,426.9517463,-15.44,8.589318017,2.163955657,1.712,0.14239382,6.6,2.727636339,1.372E+11,37.83331865,SS,SS
Au29Ag5.5Pd2.3Cu26.9Si16.3,5 ,Au Ag Pd Cu Si,29 5.5 2.3 26.9 16.3,1.3263,0.0853,1422.516413,159.50,-21.8773,7.5905,1.3446,2.1427,0.3037,9.5450,2.8099,"159,250,000,000",49.3096,AM,AM
CuNiTi,3 ,Cu Ni Ti,1 1 1,1.328666667,0.071637003,1675.59,240.9694508,-17.77777778,9.706389224,1.098612289,1.783333333,0.172111075,8.333333333,3.091206165,1.43333E+11,28.67441756,IM,IM
Cu2GeLi,3 ,Cu Ge Li,2 1 1,1.32875,0.083485233,1095.1575,375.1411477,-16.875,6.375995633,1.039720771,1.6975,0.416675833,6.75,4.380353867,72750000000,67.36235967,IM,IM
Cu17Sn3,2 ,Cu Sn,17 3,1.3293,0.091866716,1229.8665,304.4712303,3.57,1.224754975,0.422709088,1.909,0.021424285,9.95,2.49949995,1.277E+11,29.27985656,IM,IM
Pd77Cu6Si17,3 ,Pd Cu Si,77 6 17,1.3314,0.0630,1775.8547,118.02,-32.1604,9.2351,0.6713,2.1310,0.1262,9.0400,2.2931,"164,000,000,000",30.4631,AM,AM
Ni60Nb20Hf5Ti15,4 ,Ni Nb Hf Ti,60 20 5 15,1.3316,0.0819,2003.25,412.56,-31.6400,7.6628,1.0627,1.7620,0.1909,7.8000,2.7129,"164,000,000,000",27.2764,AM,AM
AlCrMoSiTi,5,Al Cr Mo Si Ti,1 1 1 1 1,1.3318,0.08678293,1927.494,639.9791623,-34.08,14.82886914,1.609437912,1.774,0.227824494,4.6,1.2,1.352E+11,54.73719028,B2+Mo5Si3,IM
Pd77.5Cu6Si16.5,3 ,Pd Cu Si,77.5 6 16.5,1.33255,0.062310989,1776.55995,117.903619,-31.4889,9.297977809,0.663644754,2.1325,0.125274698,9.07,2.266075903,1.644E+11,30.14365605,AM,AM
Ni60Nb15Hf5Ti20,4 ,Ni Nb Hf Ti,60 15 5 20,1.3333,0.0830,1962.8,375.34,-32.2800,7.7289,1.0627,1.7590,0.1939,7.7500,2.7726,"161,000,000,000",29.6479,AM,AM
Cu4In,2 ,Cu In,4 1,1.3344,0.084532374,1172.166,371.208,6.4,1.44,0.500402424,1.876,0.048,9.4,3.2,1.18666E+11,42.668,IM,IM
Cr2Mn11,2 ,Cr Mn,2 11,1.334461538,0.027307585,1620.692308,238.4896013,1.041420118,0.345856783,0.429323022,1.566923077,0.039688133,6.846153846,0.360801212,1.26154E+11,14.43204849,IM,IM
AlCu2Mn,3 ,Al Cu Mn,1 2 1,1.3345,0.0476,1292.0025,217.21,-3.2500,4.7652,1.0397,1.7400,0.1614,8.0000,3.3166,"119,000,000,000",26.1343,IM,IM
Ni60Nb10Hf5Ti25,4 ,Ni Nb Hf Ti,60 10 5 25,1.3349,0.084158165,1922.35,329.0637134,-32.96,7.386904088,1.033114088,1.756,0.196784146,7.7,2.83019434,1.58E+11,31.55946768,AM,AM
Pd82Si18,2 ,Pd Si,82 18,1.33504,0.063885438,1802.661,54.18964042,-32.472,8.654974969,0.471393487,2.146,0.115256236,8.92,2.305124725,1.656E+11,30.73499634,AM,AM
Al5Hf4Ni16,3 ,Al Hf Ni,5 4 16,1.3363,0.0958,1693.574,471.08,-33.4592,5.0259,0.9007,1.7524,0.2296,7.6400,3.1608,"148,000,000,000",43.8543,IM,IM
Au46Ag5Cu29Si20,4 ,Au Ag Cu Si,46 5 29 20,1.33679,0.086708413,1408.0716,141.7564671,-21.4864,6.431312728,1.187861003,2.1959,0.317654199,9.6,2.8,1.668E+11,51.24217013,AM,AM
AlCoCrFeNiZr,6,Al Co Cr Fe Ni Zr,1 1 1 1 1 1,1.337,0.102379003,1758.078333,407.9711354,-27.55555556,12.52339375,1.791759469,1.703333333,0.19997222,6.666666667,2.560381916,1.39472E+11,47.21997544,AM+IM,AM+IM
Ni60Nb20Hf10Ti10,4 ,Ni Nb Hf Ti,60 20 10 10,1.3374,0.088571907,2031.5,426.4385653,-32.4,8.203072595,1.088899975,1.75,0.21099763,7.8,2.712931993,1.64E+11,27.27636339,AM,AM
Ni50Nb50,2 ,Ni Nb,50 50,1.3375,0.068411215,2239,511,-30,0,0.693147181,1.755,0.155,7.5,2.5,1.75E+11,5,AM,AM
Ni50Nb20Hf2.5Ti17.5,4 ,Ni Nb Hf Ti,50 20 2.5 17.5,1.3379,0.0789,2018.138889,416.61,-32.0864,8.1716,1.0788,1.7522,0.1828,7.5556,2.7532,"162,222,222,222",28.1968,AM,AM
BeCuNiTiVZr,6,Be Cu Ni Ti V Zr,1 1 1 1 1 1,1.3388,0.1150,1816.295,297.46,-24.8889,12.6750,1.7918,1.6467,0.2047,6.0000,3.3166,"131,805,555,556",35.0741,AM+IM,AM+IM
AlNi,2 ,Al Ni,1 1,1.339,0.069454817,1330.735,397.265,-22,0,0.693147181,1.76,0.15,6.5,3.5,1.28E+11,52,IM,IM
Ni60Nb15Hf10Ti15,4 ,Ni Nb Hf Ti,60 15 10 15,1.3391,0.0896,1991.05,393.46,-33.0600,8.4042,1.1059,1.7470,0.2135,7.7500,2.7726,"161,000,000,000",29.6479,AM,AM
Cu2Ti,2 ,Cu Ti,2 1,1.3393,0.0648,1552.18,274.94,-8.0000,0.4714,0.6365,1.7800,0.1697,8.6667,3.2998,"130,000,000,000",14.1421,IM,IM
Ni3Sn,2 ,Ni Sn,3 1,1.3395,0.1209,1422.27,529.54,-3.0000,0.4330,0.5623,1.9225,0.0217,8.5000,2.5981,"149,500,000,000",52.8275,IM,IM
AlBeTi,3 ,Al Be Ti,1 1 1,1.3407,0.1125,1478.156667,415.37,-26.6667,9.0267,1.0986,1.5733,0.0287,3.0000,0.8165,"105,333,333,333",22.2910,IM,IM
SmFe6Ti6N,4 ,Sm Fe Ti N,1 6 6 1,1.3413,0.1687,1708.585714,480.10,-48.8163,33.9872,1.1033,1.7450,0.4056,5.7143,2.0152,"122,714,285,714",51.1447,IM,IM
AlCo,2 ,Al Co,1 1,1.3415,0.0675,1350.735,417.27,-19.0000,0.0000,0.6931,1.7450,0.1350,6.0000,3.0000,"128,000,000,000",52.0000,IM,IM
Ni55Nb20Hf5Ti20,4 ,Ni Nb Hf Ti,55 20 5 20,1.3424,0.0824,2013.9,408.04,-32.7400,8.7314,1.1224,1.7435,0.1936,7.5000,2.7839,"160,500,000,000",29.4066,AM,AM
Cu51Hf14,2 ,Cu Hf,51 14,1.3426,0.0919,1605.081077,472.02,-11.4916,2.2644,0.5210,1.7708,0.2467,9.4923,2.8776,"133,538,461,538",12.3327,IM,IM
Ni60Nb20Hf15Ti5,4 ,Ni Nb Hf Ti,60 20 15 5,1.3432,0.0945,2059.75,438.06,-33.1600,8.3886,1.0627,1.7380,0.2287,7.8000,2.7129,"164,000,000,000",27.2764,AM,AM
Ti1Zr1Cu1Ni1Be1,5 ,Ti Zr Cu Ni Be,1 1 1 1 1,1.3434,0.12527682,1742.954,271.8621497,-30.24,13.75624367,1.609437912,1.65,0.224053565,6.2,3.6,1.26167E+11,35.85309533,AM,AM
AlFe2Ti,3 ,Al Fe Ti,1 2 1,1.3440,0.0770,1624.1175,402.26,-21.5000,4.5638,1.0397,1.7025,0.1299,5.7500,2.2776,"131,500,000,000",40.3330,IM,IM
Al13Cr4Si4,3 ,Al Cr Si,13 4 4,1.3440,0.0863,1314.43381,508.91,-19.0476,4.6201,0.9286,1.6748,0.1109,3.7619,1.1508,"96,571,428,571",32.1019,IM,IM
Au52Pd2.3Cu29.2Si16.5,4 ,Au Pd Cu Si,52 2.3 29.2 16.5,1.344886,0.082487017,1412.28059,142.1877227,-20.634916,6.170784807,1.083554817,2.2397,0.315699081,9.822,2.592357228,1.7592E+11,48.35859386,AM,AM
Al4Cu5,2 ,Al Cu,4 5,1.346444444,0.056833548,1169.192222,210.8363651,-0.987654321,0.006134617,0.686961577,1.771111111,0.144102159,7.444444444,3.97523196,1.11556E+11,31.80185568,IM,IM
AlNi2Ti,3 ,Al Ni Ti,1 2 1,1.3465,0.075052471,1582.6175,384.7410284,-36,5.184110338,1.039720771,1.7425,0.169318487,6.75,3.269174208,1.365E+11,45.13036672,IM,IM
Cu51Zr14,2 ,Cu Zr,51 14,1.3480,0.0991,1523.665692,316.63,-15.5475,3.0637,0.5210,1.7772,0.2343,9.4923,2.8776,"125,102,564,103",28.4336,IM,IM
Ti50Cu20Ni24Si4B2,5 ,Ti Cu Ni Si B,50 20 24 4 2,1.34816,0.096916084,1771.214,236.6143292,-29.8816,11.90449196,1.217964591,1.7252,0.186174542,6.82,3.241542843,1.366E+11,39.17192872,AM,AM
Ni55Nb20Hf10Ti15,4 ,Ni Nb Hf Ti,55 20 10 15,1.3482,0.0886,2042.15,421.36,-33.4300,9.3797,1.1655,1.7315,0.2124,7.5000,2.7839,"160,500,000,000",29.4066,AM,AM
Al31Cu16Ni14,3 ,Al Cu Ni,31 16 14,1.348918033,0.063157393,1227.112951,325.3895924,-9.833915614,6.259918961,1.032811151,1.754918033,0.147355074,6.704918033,3.782376139,1.16656E+11,43.63292682,IM,IM
Mg2Ni9Y,3 ,Mg Ni Y,2 9 1,1.3515,0.139676664,1599.75,303.2757615,-10.08333333,5.674648008,0.721463687,1.7525,0.273621545,8.083333333,3.328120925,1.45917E+11,59.04159315,IM,IM
Cu3Ti2,2 ,Cu Ti,3 2,1.3516,0.0667,1591.062,285.72,-8.6400,0.1764,0.6730,1.7560,0.1764,8.2000,3.4293,"128,000,000,000",14.6969,IM,IM
Ni50Nb20Hf5Ti25,4 ,Ni Nb Hf Ti,50 20 5 25,1.3532,0.082227802,2024.55,403.1889724,-33.14,9.625171219,1.164821377,1.725,0.194486503,7.2,2.821347196,1.57E+11,31,AM,AM
Al3Nb10Ni9,3 ,Al Nb Ni,3 10 9,1.3545,0.0667,2084.200455,658.76,-31.6860,4.1680,0.9957,1.7282,0.1513,6.7727,2.7623,"161,272,727,273",34.2002,IM,IM
Al4(TiVCrCuFeMnCoNi)6,9,Al Ti V Cr Cu Fe Mn Co Ni,6 1 1 1 1 1 1 1 1,1.3561,0.0628,1434.899286,480.39,-18.3265,7.7443,1.8712,1.6829,0.1289,5.5714,2.8212,"119,714,285,714",42.2703,IM+SS,IM+SS
CoTi,2 ,Co Ti,1 1,1.3565,0.077773682,1854.5,86.5,-28,0,0.693147181,1.71,0.17,6.5,2.5,1.45E+11,35,IM,IM
Cu4Ti3,2 ,Cu Ti,4 3,1.356857143,0.067108307,1607.725714,288.6239979,-8.816326531,0.090894795,0.682908105,1.745714286,0.178153797,8,3.464101615,1.27143E+11,14.84614978,IM,IM
Cu10Sn3,2 ,Cu Sn,10 3,1.3569,0.1062,1160.995385,359.26,4.9704,0.8551,0.5402,1.9138,0.0253,9.3846,2.9493,"121,076,923,077",34.5487,IM,IM
Ni57Zr20Ti13Pd10,4 ,Ni Zr Ti Pd,57 20 13 10,1.35838,0.105634554,1845.695,158.2619892,-43.378,14.71108738,1.137782583,1.7749,0.274289974,8.02,2.821276307,1.49067E+11,45.42687653,AM,AM
Ni50Nb20Hf10Ti20,4 ,Ni Nb Hf Ti,50 20 10 20,1.3590,0.0879,2052.8,415.94,-33.7600,10.3646,1.2206,1.7130,0.2121,7.2000,2.8213,"157,000,000,000",31.0000,AM,AM
Al9Mn4Si3,3 ,Al Mn Si,9 4 3,1.3591875,0.077075001,1221.139375,330.7893209,-27.140625,5.591037455,0.984086503,1.649375,0.122956738,4.1875,1.666536453,91500000000,18.75499933,IM,IM
Ti50Ni20Cu25Sn3Be7,5 ,Ti Ni Cu Sn Be,50 20 25 3 7,1.359295238,0.088739237,1695.138,312.6839823,-20.99229025,9.221529075,1.292961309,1.710190476,0.18184756,6.676190476,3.410055824,1.30324E+11,28.95661623,AM,AM
AuCu,2 ,Au Cu,1 1,1.36,0.060294118,1347.55,10.22,-9,0,0.693147181,2.22,0.32,11,0,1.8E+11,40,IM,IM
Ni57Zr20Ti16Pd7,4 ,Ni Zr Ti Pd,57 20 16 7,1.36099,0.106215111,1849.0835,159.0551043,-43.12,13.45725043,1.121656603,1.7551,0.266602682,7.84,2.88,1.46967E+11,45.56611802,AM,AM
AlCrMnTiV,5 ,Al Cr Mn Ti V,1 1 1 1 1,1.3618,0.056812817,1751.294,475.1723621,-14.88,6.897721363,1.609437912,1.598,0.04621688,5,1.414213562,1.252E+11,31.93994364,B2,IM
AlCu2Ti,3 ,Al Cu Ti,1 2 1,1.3625,0.062505012,1397.5025,358.4246911,-12.5,6.099436449,1.039720771,1.7375,0.164373812,7.25,3.766629793,1.165E+11,26.39602243,IM,IM
Ni57Zr20Ti18Pd5,4 ,Ni Zr Ti Pd,57 20 18 5,1.36273,0.106578606,1851.3425,159.5416805,-42.688,12.48852104,1.100745697,1.7419,0.260517543,7.72,2.912318664,1.45567E+11,45.60501922,AM,AM
Pd95Si5,2 ,Pd Si,95 5,1.3639,0.035474579,1820.9975,30.7411348,-10.45,9.709447397,0.198515243,2.185,0.065383484,9.7,1.307669683,1.76E+11,17.43559577,AM,AM
MgNi2,2 ,Mg Ni,1 2,1.364333333,0.122659618,1459.666667,379.4806392,-3.555555556,0.20951312,0.636514168,1.71,0.282842712,7.333333333,3.771236166,1.35E+11,63.63961031,IM,IM
Ni62Zr28Nb7Al3,4 ,Ni Zr Nb Al,62 28 7 3,1.36435,0.11603108,1887.7041,333.6867065,-42.1864,8.071584948,0.944157525,1.7169,0.257548811,7.76,2.877915913,1.45613E+11,49.85878324,AM,AM
Ni61Zr27Nb8Al4,4 ,Ni Zr Nb Al,61 27 8 4,1.36447,0.114571912,1885.9788,356.4442952,-42.07,8.519775241,0.985854077,1.7166,0.254386399,7.7,2.896549672,1.45565E+11,49.72482554,AM,AM
Ni61Zr27Nb7Al5,4 ,Ni Zr Nb Al,61 27 7 5,1.3645,0.114578677,1867.8135,358.2317145,-42.4148,8.322971128,0.990975569,1.7167,0.254342505,7.68,2.921917179,1.44625E+11,50.14077059,AM,AM
Cu9In4,2 ,Cu In,9 4,1.364769231,0.095366926,1072.225385,428.3169231,8.520710059,0.682749203,0.61724177,1.863076923,0.055384615,8.538461538,3.692307692,1.07178E+11,49.23230769,IM,IM
Ti50Ni24Cu20BSi2Sn3,6 ,Ti Ni Cu B Si Sn,50 24 20 1 2 3,1.3655,0.090987912,1729.1464,314.3896565,-25.9576,10.7893477,1.240457997,1.7256,0.186313285,6.83,3.231269101,1.3314E+11,36.6696114,AM,AM
Ni57.5Zr24Nb11Al7.5,4 ,Ni Zr Nb Al,57.5 24 11 7.5,1.36576,0.109887013,1876.83025,422.4791601,-41.7726,9.638342766,1.097774715,1.7142,0.244375449,7.485,2.956311046,1.449E+11,49.50107743,AM,AM
Al4Cu3,2 ,Al Cu,4 3,1.366,0.055790802,1115.312857,209.974045,-0.979591837,0.010099422,0.682908105,1.734285714,0.143512781,6.428571429,3.958973274,1.03429E+11,31.6717862,IM,IM
